Timestamp,Uptime(s),Voltage(V),Temp(C),Humidity(%),PacketID,RSSI (dBm),SNR (dB)
2025-03-25 14:10:07,2.0,4.95,24.6,57.0,0,-51,9.0
2025-03-25 14:10:25,2.0,4.95,24.7,56.6,1,-52,9.0
2025-03-25 14:10:43,2.0,4.95,24.7,56.5,2,-55,9.0
2025-03-25 14:11:01,2.0,4.95,24.8,56.7,3,-49,9.0
2025-03-25 14:11:19,2.0,4.95,24.8,56.4,4,-52,9.0
2025-03-25 14:11:37,2.0,4.95,24.8,56.3,5,-49,9.0
2025-03-25 14:11:55,2.0,4.95,24.8,56.4,6,-48,9.0
2025-03-25 14:12:13,2.0,4.95,24.8,56.3,7,-49,10.0
2025-03-25 14:12:31,2.0,4.95,24.8,56.2,8,-50,9.0
2025-03-25 14:12:49,2.0,4.95,24.8,55.8,9,-49,10.0
2025-03-25 14:13:07,2.0,4.95,24.9,55.8,10,-53,9.0
2025-03-25 14:13:25,2.0,4.95,24.9,55.6,11,-48,9.0
2025-03-25 14:13:43,2.0,4.95,24.9,55.6,12,-49,9.0
2025-03-25 14:14:01,2.0,4.95,25.0,55.5,13,-48,9.0
2025-03-25 14:14:19,2.0,4.95,24.9,55.6,14,-48,9.0
2025-03-25 14:14:37,2.0,4.95,25.0,55.3,15,-49,9.0
2025-03-25 14:14:55,2.0,4.95,25.0,55.1,16,-55,9.0
2025-03-25 14:15:13,2.0,4.95,25.0,55.2,17,-55,9.0
2025-03-25 14:15:31,2.0,4.95,25.0,55.3,18,-51,9.0
2025-03-25 14:15:49,2.0,4.95,25.0,55.2,19,-47,9.0
2025-03-25 14:16:07,2.0,4.95,25.0,55.1,20,-68,10.0
2025-03-25 14:16:25,2.0,4.95,25.0,55.1,21,-65,9.0
2025-03-25 14:16:43,2.0,4.95,25.0,55.4,22,-59,9.0
2025-03-25 14:17:01,2.0,4.95,25.1,55.2,23,-71,9.0
2025-03-25 14:17:19,2.0,4.95,25.1,55.2,24,-57,9.0
2025-03-25 14:17:37,2.0,4.95,25.1,55.3,25,-54,9.0
2025-03-25 14:17:55,2.0,4.95,25.1,55.1,26,-54,9.0
2025-03-25 14:18:13,2.0,4.95,25.1,55.2,27,-50,9.0
2025-03-25 14:18:31,2.0,4.95,25.1,55.2,28,-53,9.0
2025-03-25 14:18:49,2.0,4.95,25.2,55.2,29,-56,9.0
2025-03-25 14:19:07,2.0,4.95,25.2,55.1,30,-42,9.0
2025-03-25 14:19:25,2.0,4.95,25.2,55.0,31,-52,9.0
2025-03-25 14:19:43,2.0,4.95,25.2,54.9,32,-51,9.0
2025-03-25 14:20:01,2.0,4.95,25.3,54.5,33,-48,9.0
2025-03-25 14:20:19,2.0,4.95,25.3,55.0,34,-58,9.0
2025-03-25 14:20:37,2.0,4.95,25.3,54.6,35,-52,9.0
2025-03-25 14:20:55,2.0,4.94,25.3,54.7,36,-58,9.0
2025-03-25 14:21:13,2.0,4.94,25.3,54.6,37,-63,9.0
2025-03-25 14:21:31,2.0,4.93,25.4,54.6,38,-56,9.0
2025-03-25 14:21:49,2.0,4.93,25.4,54.8,39,-56,9.0
2025-03-25 14:22:07,2.0,4.93,25.4,54.5,40,-61,9.0
2025-03-25 14:22:25,2.0,4.93,25.5,54.1,41,-55,9.0
2025-03-25 14:22:43,2.0,4.92,25.4,54.1,42,-53,9.0
2025-03-25 14:23:01,2.0,4.92,25.5,54.1,43,-52,10.0
2025-03-25 14:23:19,2.0,4.92,25.5,54.2,44,-49,9.0
2025-03-25 14:23:37,2.0,4.91,25.6,54.1,45,-61,10.0
2025-03-25 14:23:55,2.0,4.91,25.5,54.1,46,-64,9.0
2025-03-25 14:24:13,2.0,4.91,25.5,54.0,47,-64,9.0
2025-03-25 14:24:31,2.0,4.9,25.6,54.0,48,-64,9.0
2025-03-25 14:24:49,2.0,4.9,25.6,53.7,49,-61,9.0
2025-03-25 14:25:07,2.0,4.9,25.6,53.2,50,-57,9.0
2025-03-25 14:25:25,2.0,4.89,25.6,53.2,51,-55,9.0
2025-03-25 14:25:43,2.0,4.89,25.5,53.1,52,-54,9.0
2025-03-25 14:26:01,2.0,4.89,25.5,53.2,53,-54,9.0
2025-03-25 14:26:19,2.0,4.89,25.5,53.3,54,-55,9.0
2025-03-25 14:26:37,2.0,4.88,25.5,53.1,55,-54,9.0
2025-03-25 14:26:55,2.0,4.88,25.5,53.0,56,-55,9.0
2025-03-25 14:27:13,2.0,4.88,25.5,52.7,57,-56,9.0
2025-03-25 14:27:31,2.0,4.87,25.5,52.8,58,-55,9.0
2025-03-25 14:27:49,2.0,4.87,25.5,52.8,59,-55,9.0
2025-03-25 14:28:07,2.0,4.87,25.5,53.0,60,-55,9.0
2025-03-25 14:28:25,2.0,4.86,25.5,53.1,61,-55,9.0
2025-03-25 14:28:43,2.0,4.86,25.6,53.0,62,-57,9.0
2025-03-25 14:29:01,2.0,4.86,25.6,53.0,63,-59,9.0
2025-03-25 14:29:19,2.0,4.85,25.6,53.2,64,-61,9.0
2025-03-25 14:29:37,2.0,4.85,25.7,53.1,65,-59,9.0
2025-03-25 14:29:55,2.0,4.85,25.7,53.1,66,-61,9.0
2025-03-25 14:30:13,2.0,4.85,25.7,53.0,67,-60,9.0
2025-03-25 14:30:31,2.0,4.84,25.7,52.8,68,-58,9.0
2025-03-25 14:30:49,2.0,4.84,25.7,52.8,69,-58,9.0
2025-03-25 14:31:07,2.0,4.83,25.8,52.8,70,-50,9.0
2025-03-25 14:31:43,2.0,4.83,25.8,52.7,72,-50,9.0
2025-03-25 14:32:01,2.0,4.83,25.8,52.6,73,-50,9.0
2025-03-25 14:32:19,2.0,4.83,25.9,52.4,74,-50,9.0
2025-03-25 14:32:37,2.0,4.82,25.9,52.7,75,-50,9.0
2025-03-25 14:32:55,2.0,4.82,25.9,52.6,76,-50,9.0
